Frame,Hand,Landmark,X,Y,Z
25,Left,4,0.4401126503944397,0.6457144021987915,-0.016141384840011597
25,Left,5,0.33370694518089294,0.6464869379997253,0.0044364845380187035
25,Left,6,0.3679063320159912,0.5452396273612976,-0.008115767501294613
25,Left,7,0.3907957971096039,0.48414844274520874,-0.022021222859621048
25,Left,8,0.40828636288642883,0.43665996193885803,-0.03259905055165291
25,Left,9,0.2829940915107727,0.6303406357765198,-0.002763169351965189
25,Left,10,0.2895088791847229,0.5071828961372375,-0.009870071895420551
25,Left,11,0.2964681386947632,0.4314727485179901,-0.021667085587978363
25,Left,12,0.3004566729068756,0.37266305088996887,-0.03137573227286339
25,Left,13,0.23559385538101196,0.6426281929016113,-0.014404121786355972
25,Left,14,0.22918812930583954,0.5261449813842773,-0.025342842563986778
25,Left,15,0.2286011129617691,0.4523077607154846,-0.04274666681885719
25,Left,16,0.22946937382221222,0.39129528403282166,-0.0567537322640419
25,Left,17,0.1911013275384903,0.6822949647903442,-0.02811286225914955
25,Left,18,0.15125566720962524,0.6152557730674744,-0.044093355536460876
25,Left,19,0.12429346144199371,0.5692367553710938,-0.055728014558553696
25,Left,20,0.1015600711107254,0.5258470177650452,-0.06367768347263336
26,Left,0,0.25928667187690735,0.9562366604804993,4.5471782073036593e-07
26,Left,1,0.33264315128326416,0.8900076150894165,-0.01371204387396574
26,Left,2,0.3810626268386841,0.776764988899231,-0.01286410540342331
26,Left,3,0.40424224734306335,0.6952551007270813,-0.013584475964307785
26,Left,4,0.4290335178375244,0.6407897472381592,-0.013644597493112087
26,Left,5,0.3231540322303772,0.645699143409729,0.005319959484040737
26,Left,6,0.35635611414909363,0.5435632467269897,-0.007400838192552328
26,Left,7,0.3797585964202881,0.48156803846359253,-0.021722769364714622
26,Left,8,0.39795005321502686,0.43281152844429016,-0.032482732087373734
26,Left,9,0.2720590829849243,0.6299252510070801,-0.002288116840645671
26,Left,10,0.2780686020851135,0.5051681399345398,-0.009591177105903625
26,Left,11,0.28549841046333313,0.4296715259552002,-0.02171453833580017
26,Left,12,0.2901538908481598,0.36986902356147766,-0.0316108874976635
26,Left,13,0.22482113540172577,0.6416246891021729,-0.014237113296985626
26,Left,14,0.21809163689613342,0.5240417122840881,-0.02553374692797661
26,Left,15,0.21697454154491425,0.45029550790786743,-0.04294734448194504
26,Left,16,0.21647778153419495,0.3888694941997528,-0.056827645748853683
26,Left,17,0.18048854172229767,0.6804048418998718,-0.028102809563279152
26,Left,18,0.1396932601928711,0.6122386455535889,-0.04420851916074753
26,Left,19,0.11140413582324982,0.5671848058700562,-0.05546011030673981
26,Left,20,0.08658285439014435,0.5249305367469788,-0.0630694255232811
27,Left,0,0.25573399662971497,0.958233654499054,4.4915299213244e-07
27,Left,1,0.3290887475013733,0.8912663459777832,-0.016199802979826927
27,Left,2,0.3786391317844391,0.7784051299095154,-0.01703392155468464
27,Left,3,0.4028940796852112,0.6946577429771423,-0.019158372655510902
27,Left,4,0.42629241943359375,0.6371669173240662,-0.0206210445612669
27,Left,5,0.3227660655975342,0.6438011527061462,0.0022449311800301075
27,Left,6,0.3567393720149994,0.5417401790618896,-0.011840907856822014
27,Left,7,0.37915533781051636,0.4789651930332184,-0.027285093441605568
27,Left,8,0.3957773447036743,0.4281052350997925,-0.03880070149898529
27,Left,9,0.27108192443847656,0.6281397342681885,-0.004744670819491148
27,Left,10,0.27615886926651,0.5050060749053955,-0.012900733388960361
27,Left,11,0.28205233812332153,0.427685409784317,-0.025701474398374557
27,Left,12,0.2845523953437805,0.3663729429244995,-0.03617730364203453
27,Left,13,0.2230556458234787,0.6409913301467896,-0.01626449078321457
27,Left,14,0.21603554487228394,0.5269040465354919,-0.027939291670918465
27,Left,15,0.21485298871994019,0.45304766297340393,-0.04552752152085304
27,Left,16,0.21465760469436646,0.39222049713134766,-0.059581588953733444
27,Left,17,0.1784113496541977,0.6817087531089783,-0.030065514147281647
27,Left,18,0.13867439329624176,0.6159418821334839,-0.046791452914476395
27,Left,19,0.11080366373062134,0.5706560015678406,-0.05851101502776146
